Dire Straits,Sultans of Swing,5,Guitar Hero 5
Stevie Wonder,Superstition,5,Guitar Hero 5
Attack! Attack!,You and Me,5,Guitar Hero 5
Bon Jovi,You Give Love a Bad Name,5,Guitar Hero 5
Jimmy Eat World,Bleed American,6,Guitar Hero 5
Duran Duran,Hungry Like the Wolf,6,Guitar Hero 5
Thin Lizzy,Jailbreak,6,Guitar Hero 5
Mötley Crüe,Looks That Kill,6,Guitar Hero 5
Blink-182,The Rock Show,6,Guitar Hero 5
Weezer,Why Bother?,6,Guitar Hero 5
The Killers,All The Pretty Faces,7,Guitar Hero 5
Nirvana,Lithium (Live),7,Guitar Hero 5
Billy Squier,Lonely Is the Night,7,Guitar Hero 5
Screaming Trees,Nearly Lost You,7,Guitar Hero 5
Nirvana,Smells Like Teen Spirit,7,Guitar Hero 5
Eagles of Death Metal,Wannabe in L.A.,7,Guitar Hero 5
T. Rex,20th Century Boy,8,Guitar Hero 5
Vampire Weekend,A-Punk,8,Guitar Hero 5
Public Enemy ft. Zakk Wylde,Bring the Noise 20XX,8,Guitar Hero 5
Rammstein,Du Hast,8,Guitar Hero 5
Sunny Day Real Estate,Seven,8,Guitar Hero 5
Sublime,What I Got,8,Guitar Hero 5
The Smashing Pumpkins,Bullet with Butterfly Wings,9,Guitar Hero 5
Face to Face,Disconnected,9,Guitar Hero 5
My Morning Jacket,One Big Holiday,9,Guitar Hero 5
Johnny Cash,Ring of Fire,9,Guitar Hero 5
Grand Funk Railroad,We're an American Band,9,Guitar Hero 5
Sonic Youth,Incinerate,10,Guitar Hero 5
The Sword,"Maiden, Mother & Crone",10,Guitar Hero 5
Santana,No One to Depend On+ (Live),10,Guitar Hero 5
Tom Petty,Runnin' Down a Dream,10,Guitar Hero 5
The Police,So Lonely,10,Guitar Hero 5
TV on the Radio,Wolf Like Me,10,Guitar Hero 5
Wolfmother,Back Round,11,Guitar Hero 5
AFI,Medicate+,11,Guitar Hero 5
Elton John,Saturday Night's Alright for Fighting,11,Guitar Hero 5
Rose Hill Drive,Sneak Out,11,Guitar Hero 5
Gov't Mule,Streamline Woman,11,Guitar Hero 5
The Derek Trucks Band,Younk Funka,11,Guitar Hero 5
Iron Maiden,2 Minutes to Midnight,12,Guitar Hero 5
Tom Petty and the Heartbreakers,American Girl,12,Guitar Hero 5
Arctic Monkeys,Brianstorm,12,Guitar Hero 5
Thrice,Deadbolt+,12,Guitar Hero 5
A Perfect Circle,Judith,12,Guitar Hero 5
The Bronx,Six Days a Week,12,Guitar Hero 5
Darkest Hour,Demon(s)+,13,Guitar Hero 5
Peter Frampton,Do You Feel Like We Do? (Live),13,Guitar Hero 5
Children of Bodom,"Done with Everything, Die for Nothing+",13,Guitar Hero 5
Iggy Pop,Lust for Life (Live),13,Guitar Hero 5
Jeff Beck,Scatterbrain+a (Live),13,Guitar Hero 5
Megadeth,Sweating Bullets+,13,Guitar Hero 5
Rush,The Spirit of Radio+ (Live),13,Guitar Hero 5
King Crimson,21st Century Schizoid Man+,14,Guitar Hero 5
OK Go,A Million Ways,1,Band Hero
Evanescence,Bring Me to Life,1,Band Hero
Culture Club,Do You Really Want To Hurt Me,1,Band Hero
Cold War Kids,Hang Me Up to Dry,1,Band Hero
The Turtles,Happy Together,1,Band Hero
David Bowie,Let's Dance,1,Band Hero
Roy Orbison,"Oh, Pretty Woman",1,Band Hero
The Jackson 5,ABC,2,Band Hero
The Bravery,Believe,2,Band Hero
Marvin Gaye,I Heard It Through the Grapevine,2,Band Hero
Hinder,Lips of an Angel,2,Band Hero
The Go-Go's,Our Lips Are Sealed,2,Band Hero
N.E.R.D.,Rock Star,2,Band Hero
Hilary Duff,So Yesterday,2,Band Hero
Joan Jett,Bad Reputation,3,Band Hero
The All-American Rejects,Dirty Little Secret,3,Band Hero
Tonic,If You Could Only See,3,Band Hero
Santigold,L.E.S. Artistes,3,Band Hero
Everclear,Santa Monica,3,Band Hero
Lily Allen,Take What You Take,3,Band Hero
Spice Girls,Wannabe,3,Band Hero
The Rolling Stones,Honky Tonk Women,4,Band Hero
Taylor Swift,Love Story (Pop Mix),4,Band Hero
Styx,Mr. Roboto,4,Band Hero
The Last Goodnight,Pictures of You,4,Band Hero
Ben Harper and the Innocent Criminals,Steal My Kisses,4,Band Hero
Snow Patrol,Take Back the City,4,Band Hero
Devo,Whip It,4,Band Hero
Janet Jackson,Black Cat,5,Band Hero
Poison,Every Rose Has Its Thorn,5,Band Hero
Pat Benatar,Love is a Battlefield,5,Band Hero
Yellowcard,Ocean Avenue,5,Band Hero
Corinne Bailey Rae,Put Your Records On,5,Band Hero
Maroon 5,She Will Be Loved,5,Band Hero
Fall Out Boy,"Sugar, We're Goin Down",5,Band Hero
Cheap Trick,I Want You to Want Me (Live),6,Band Hero
Big Country,In a Big Country,6,Band Hero
Finger Eleven,Paralyzer,6,Band Hero
Angels & Airwaves,The Adventure,6,Band Hero
Katrina and the Waves,Walking on Sunshine,6,Band Hero
Duffy,Warwick Avenue,6,Band Hero
3 Doors Down,When I'm Gone,6,Band Hero
Counting Crows,Angels of the Silences,7,Band Hero
Jesse McCartney,Beautiful Soul,7,Band Hero
No Doubt,Don't Speak,7,Band Hero
Alphabeat,Fascination,7,Band Hero
Filter,Take a Picture,7,Band Hero
Nelly Furtado,Turn Off the Light,7,Band Hero
Village People,Y.M.C.A.,7,Band Hero
Dashboard Confessional,Hands Down,8,Band Hero
Carl Douglas,Kung Fu Fighting,8,Band Hero
Aly & AJ,Like Whoa,8,Band Hero
Taylor Swift,Picture to Burn,8,Band Hero
Duran Duran,Rio,8,Band Hero
Taylor Swift,You Belong with Me,8,Band Hero
Parachute,Back Again,9,Band Hero
KT Tunstall,Black Horse and the Cherry Tree,9,Band Hero
No Doubt,Just a Girl,9,Band Hero
Robbie Williams & Kylie Minogue,Kids,9,Band Hero
Papa Roach,Lifeline,9,Band Hero
The Airborne Toxic Event,Gasoline,10,Band Hero
The Kooks,Naïve,10,Band Hero
The Mighty Mighty Bosstones,The Impression That I Get,10,Band Hero
Joss Stone,You Had Me,10,Band Hero
Don McLean,American Pie,11,Band Hero
Blue Öyster Cult,(Don't Fear) The Reaper,???,Rock Band 1
Jet,Are You Gonna Be My Girl,???,Rock Band 1
